performance_id,candidate_id,edition_id,round_id,program_label,performance_status,source_url,notes
86,15,1,2,Quarterfinal Round,performed,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/david-khrikuli,candidate_page_listing_status_by_reached_round
87,15,1,3,Semifinal Round - Recital,planned,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/david-khrikuli,candidate_page_listing_status_by_reached_round
88,15,1,4,Semifinal Round - Mozart Concerto,planned,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/david-khrikuli,candidate_page_listing_status_by_reached_round
89,15,1,5,Final Round - Concerto 1,planned,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/david-khrikuli,candidate_page_listing_status_by_reached_round
90,15,1,6,Final Round - Concerto 2,planned,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/david-khrikuli,candidate_page_listing_status_by_reached_round
91,16,1,1,Preliminary Round,performed,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/pedro-lopez-salas,candidate_page_listing_status_by_reached_round
92,16,1,2,Quarterfinal Round,planned,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/pedro-lopez-salas,candidate_page_listing_status_by_reached_round
93,16,1,3,Semifinal Round - Recital,planned,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/pedro-lopez-salas,candidate_page_listing_status_by_reached_round
94,16,1,4,Semifinal Round - Mozart Concerto,planned,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/pedro-lopez-salas,candidate_page_listing_status_by_reached_round
95,16,1,5,Final Round - Concerto 1,planned,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/pedro-lopez-salas,candidate_page_listing_status_by_reached_round
96,16,1,6,Final Round - Concerto 2,planned,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/pedro-lopez-salas,candidate_page_listing_status_by_reached_round
97,17,1,1,Preliminary Round,performed,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/philipp-lynov,candidate_page_listing_status_by_reached_round
